Time,Head_count
0/01,6
0/02,8
0/03,7
0/04,8
0/05,8
0/06,6
0/07,6
0/08,5
0/09,5
0/10,5
0/11,5
0/12,5
0/13,5
0/14,6
0/15,5
0/16,5
0/17,5
0/18,5
0/19,7
0/20,8
0/21,9
0/22,7
0/23,8
0/24,7
0/25,8
0/26,7
0/27,7
0/28,8
0/29,7
0/30,7
0/31,6
0/32,6
0/33,6
0/34,6
0/35,5
0/36,6
0/37,6
0/38,6
0/39,7
0/40,4
0/41,5
0/42,6
0/43,7
0/44,6
0/45,5
0/46,5
0/47,5
0/48,5
0/49,5
0/50,4
0/51,4
0/52,4
0/53,4
0/54,4
0/55,3
0/56,3
0/57,3
0/58,3
0/59,3
1/00,3
1/01,4
1/02,5
1/03,4
1/04,3
1/05,3
1/06,4
1/07,4
1/08,3
1/09,3
1/10,3
1/11,3
1/12,5
1/13,4
1/14,4
1/15,4
1/16,5
1/17,8
1/18,7
1/19,5
1/20,6
1/21,5
1/22,5
1/23,4
1/24,4
1/25,6
1/26,5
1/27,5
1/28,5
1/29,6
1/30,6
1/31,6
1/32,6
1/33,6
1/34,6
1/35,7
1/36,5
1/37,6
1/38,6
1/39,6
1/40,5
1/41,8
1/42,7
1/43,6
1/44,7
1/45,6
1/46,6
1/47,7
1/48,6
1/49,6
1/50,7
1/51,6
1/52,6
1/53,6
1/54,8
1/55,7
1/56,8
1/57,6
1/58,5
1/59,7
2/00,9
2/01,10
2/02,9
2/03,8
2/04,6
2/05,7
2/06,6
2/07,8
2/08,7
2/09,7
2/10,6
2/11,7
2/12,7
2/13,7
2/14,8
2/15,9
2/16,9
2/17,8
2/18,8
2/19,9
2/20,8
2/21,6
2/22,6
2/23,6
2/24,7
2/25,7
2/26,7
2/27,7
2/28,7
2/29,7
2/30,6
2/31,7
2/32,6
2/33,8
2/34,8
2/35,8
2/36,7
2/37,5
2/38,6
2/39,8
2/40,8
2/41,7
2/42,7
2/43,7
2/44,7
2/45,8
2/46,9
2/47,9
2/48,7
2/49,8
2/50,7
2/51,8
2/52,8
2/53,8
2/54,8
2/55,7
2/56,4
2/57,5
2/58,5
2/59,4
3/00,6
3/01,6
3/02,6
3/03,6
3/04,6
3/05,6
3/06,8
3/07,7
3/08,6
3/09,6
3/10,6
3/11,7
3/12,7
3/13,7
3/14,6
3/15,7
3/16,6
3/17,6
3/18,6
3/19,6
3/20,6
3/21,6
3/22,7
3/23,6
3/24,7
3/25,7
3/26,5
3/27,5
